time,bloc,treat,%P,%N ,%C,N:P,C:N,point
Begin,Block 12,Control,0.43,1.17,8.90,1.24,6.50,1
Begin,Block 3,Control,0.46,1.37,10.35,1.35,6.47,1
Begin,Block 6,Control,0.51,1.32,9.98,1.19,6.47,1
Begin,Block 9,Control,0.50,1.25,9.86,1.14,6.73,1
Begin,Block 1,N,0.49,1.27,10.74,1.17,7.27,1
Begin,Block 10,N,0.79,0.91,7.48,0.52,7.07,1
Begin,Block 4,N,0.34,1.57,14.01,2.07,7.65,1
Begin,Block 7,N,0.45,0.97,6.66,0.99,5.86,1
Begin,Block 11,NP,0.42,1.88,16.08,2.03,7.32,1
Begin,Block 2,NP,0.48,1.92,14.64,1.82,6.54,1
Begin,Block 5,NP,0.58,2.09,16.33,1.62,6.69,1
Begin,Block 8,NP,0.27,0.99,7.50,1.64,6.51,1
Middle,Block 12,Control,0.37,1.76,12.73,2.19,6.19,2
Middle,Block 3,Control,0.41,2.10,17.81,2.31,7.26,2
Middle,Block 6,Control,0.37,2.29,17.97,2.83,6.73,2
Middle,Block 9,Control,0.43,2.42,18.61,2.54,6.58,2
Middle,Block 1,N,0.41,2.10,16.53,2.34,6.76,2
Middle,Block 10,N,0.49,2.10,13.16,1.93,5.38,2
Middle,Block 4,N,0.35,2.46,17.17,3.14,5.98,2
Middle,Block 7,N,0.28,2.34,16.30,3.79,5.96,2
Middle,Block 11,NP,0.38,2.09,16.41,2.49,6.74,2
Middle,Block 2,NP,0.38,1.52,10.42,1.82,5.88,2
Middle,Block 5,NP,0.38,1.65,13.99,1.94,7.28,2
Middle,Block 8,NP,0.55,2.99,21.68,2.46,6.21,2
End,Block 3,Control,0.36,2.67,17.14,3.37,5.50,3
End,Block 6,Control,0.20,3.72,24.67,8.64,5.68,3
End,Block 9,Control,0.27,2.66,19.49,4.49,6.29,3
End,Block 1,N,0.14,3.15,19.43,9.85,5.29,3
End,Block 10,N,0.49,2.51,18.94,2.34,6.48,3
End,Block 4,N,0.40,2.66,17.83,3.05,5.75,3
End,Block 7,N,0.42,3.23,21.94,3.45,5.83,3
End,Block 2,NP,0.28,2.64,18.08,4.31,5.87,3
End,Block 5,NP,0.32,3.39,22.78,4.80,5.76,3
End,Block 6,Control,0.27,2.90,19.59,4.84,5.80,3
End,Block 4,N,0.41,2.49,18.69,2.73,6.44,3
